text,label
好幸福，喜翻儿喜翻儿,0
话说回来你又能拿同性恋怎么样呢？？有本事就弄死他们啊。几千万个，慢慢来。反正对于你这种以强凌弱的，也就这些本事这种心胸了。,1
不负家庭责任的没有写很多，因为这种很快就离了,0
能不能回复啊，笑死了，没见过这么嘴硬小胆的fw，是不是待会还要自己精神胜利一把说我不屑于和你说话啊,1
吧里这几个反同根本没什么能力，反同还得靠同性恋,1
终于可以说话了，这等级限制，这你们叫的“猪腰”是不是就是骂骂咧咧说要去人家学校堵人家的那个?,1
猪猪挺可爱的,0
复印还得是你们txl厉害，搁知乎上一复制来这一粘贴就把正常人的智商否定了，就那两个赞的文章谁信谁才智商有问题,1
这样的假设，现实中并不存在或极端罕见,0
吧主是重庆的啊，你们那儿也算是重灾区了吧,1
看来同性恋只知道污蔑他人了,1
说的很对。但是吃屎的也不能要吃尿的强行认同吧！,0
你还未染艾身亡？你上药多久了？,1
艾呀，梅事的啦，疣没什么大不了的，中奖几率为淋，痿什么要担心呢，打个疱而已嘛，下次就不药啦,1
说的好，建议直接打砸抢,0
比如在父母面前抽烟的大孝子行为,1
长得丑就活该被变态骚扰 这什么逻辑,1
这样的人一辈子都不会被人看上吧,1
你要的证据来咯。毕竟我们不会乱造谣别人,0
如下，一击脱离是真的给异性恋当成武器了，可怜至极,0
石砸🐶叫了属于是，怎么就不配了？,1
日本为何分区实行，不一起呢,0
看图中这个不是反同的，同恋该时候承认是精神病了,1
反变态吧吧名简洁明了，一看就懂,0
我感觉男同性格残缺或是怪异的可能性很高，和普通人相比。有些人是因为某些事情刺激后天成为男同，然而这类人也容易变得很怪，很极端，甚至很恶心。我指其中部分人,1
饭桶皆深柜，不敢直面自己的内心,1
还得看咋陕西爷基佬死于艾,1
对滴，很多人的头里就是臭鱼烂酱全在他脑子里，不用和他们辩论，因为他们没有思考的部位。🍉,1
说给爷爷听，他们三个什么时候p过你的图？,0
图灵还要什么争议？帮助祖国和世界战胜了法西斯，然后却被自己的祖国迫害，悲剧自杀，图灵是反同碰不得的,0
（仅代表个人观点，不喜勿喷，杠精走开，并无嘲笑和讽刺的意味，如果有哪里语言不当致歉，如果有言论冒犯抱歉，只是单纯的觉得，我家里上有老下有小，请杠精远离，另外我父母还健在，不是孤儿，受过教育，非杠非黑，并无敌意，仅表达字面含义无讽刺、暗示意味，仅代表个人观点并无意引发论战及侵占公共资源，语言不当之处请见谅，本人尊重一切，若本回复冒犯到您我诚挚表示歉意，若您不赞同我的观点不必特地回复我）,0
世界卫生组织周三建议男同性恋者及双性恋男性限制其性伴侣的数量，以避免自身感染猴痘及帮助降低该病毒的传播速度。世卫组织猴痘专家罗莎蒙德·刘易斯表示，男男性行为群体目前有着最高的猴痘病毒感染率。目前的感染案例中，有99%的感染者为男性，这些患者中又有95%发生过男男性行为。,0
我认识的都还好 这种好奇葩,0
先解决孩子安全问题再说吧，基佬炼铜是人尽皆知的,1
“阳刚”之气罢了,1
骗婚什么时候没被抵制了吗，这本来就是个错误的行为啊，但你说的是抵制男同这个群体,1
你们同性恋不包容反同可以拉黑对方龟缩在家里不见人见光就可以了，你们同性恋不需要来这个吧，有拉黑功能可以让你们逃避现实活在自己的世界里。同性恋太丢脸太恶心了一定要拉黑回避正常人。反同是正常的逃不逃避拉不拉黑你们也是正常的但你们同性恋是不正常的不能见人见光所以需要拉黑我们反同才能逃避现实活在自己的世界里。,1
我以前是同性恋后面喝中药调理好了，药方如下:柏子仁二钱半、白蔹二钱、白术三钱半、桂心一钱半、附子一钱。用法:蜜制丸，每日早中晚饭前各服3~5丸(约3~5克)，一律白开水服下，服药期间每晚用热水洗，浸一二分钟更佳，一般服用十天后约可对同性器官感到厌倦，恢复对女性的喜好。,0
还没影响到啊😓，同性才是真爱，异性只为繁衍是谁说的？😓,1
一眼丁真，能不玩这种p图恶搞了吗，整点正能量的,0
就像黄人黑人在美国，他们确确实实弱势，会被歧视,1
而且视频中对其他异性恋企鹅的描述也显示其别有用心,0
这下总结的挺正确的捏,0
异性恋属阳，是正常的，同性恋属阴，是不正常的,1
这个鸡佬，喜欢精神胜利，是一个辣鸡，真是笑死人,1
支持正义执行！txl再不管管，气候变暖又要加重了。,1
您说的有点客观。,0
这问题让我明白为什么基佬在唐山不会被打。基佬染艾原来是为了防身！,1
现在喜欢偷窥南人上厕所，真是从小边台到大。,1
最离谱的是冒着风险跟他媳妇儿pp还生孩子了他是什么nt这跟医院检查有什么关系他在不确定风险的情况下跟媳妇儿pp不就是对他媳妇儿的不尊重吗也没给他媳妇儿当个人啊他媳妇儿不过是个繁衍工具罢了吧不先想想能不能对得起媳妇儿紧着转移话题赶紧离了得了,1
这个鸡佬，喜欢精神胜利，是一个辣鸡,1
同性恋所占人口比例甚至不需要查找专业的文献，百度什么的随便搜搜就有。,0
别人不能定义性少数，那同性恋有什么资格给儿童定义？,1
真的有些腐癌还有喜欢基，雷百合的，还是好看的基，这也太双标了,1
给他脸了，这不110,1
没有基因倾向的人打死都扳不弯的,1
我最后确定我喜欢女生，是因为在我人生的前23年所接受的教育和理念形成了一种思维倾向，小说和电影只是我大脑信息长河中的一只蜉蝣，不足以撼动大树。我说的很明确了，假如我只是一个12.3岁刚刚对这个世界有所了解，三观尚在成长期的少年，日复一日、沉溺于同的作品，或许又是不同的结果,0
直佬日常迫害正常人,1
宇宙畅销反同漫《反同少女泼》改编的反同动画《反同小猪》将于近期开播，依然是邀请银河系反同天王艺人阿泼担任主演。该剧讲述的是一个平凡的反同小学生小猪拯救世界的故事。还等什么呢？快快拿起反同棒，跟随者小猪的步伐一同收集基佬牌吧！,1
作为一个gay，我不觉得这种态度有什么问题啊……这篇回答简单说就是：你爱逼逼你逼逼，关我屁事。,1
他就是一个小孩子,0
我也感觉...其实现在表面上多少人接受同性恋，就是跟风而已，跟风瞎yy别人的人更恶心我觉得，就拿我同学的例子来说，别人以为她是同多少想远离她，哪像网上说那么好听,1
不就是因为觉得自己恶心吗？什么撞号，分出个1啊，0啊的，简直是笑话。自己歧视自己的群体，应该是个垃圾群体吧。你们谈恋爱有多少人能超过三个月？嗯？不肯一起努力，捡现成，摆烂，物质主义，为了金钱抛弃爱情是你们这个群体的永远主旋律，像张国荣，图灵那样优秀的能有几个？恐怕优秀的人才是你们这个群体的少数派吧，不然你们怎么会经常性恋爱，每一段恋爱都逐渐使你们走向孤独终老的最终归宿。哦，我忘了，你们大多数人压根就没有老的机会，这个群体提倡的主要生活方式同样糟糕，你们真的觉得自己能活过五十？好了，我说的应该都是事实吧，死基佬们应该哑口无言了吧。,1
男同喜欢封面上的那种?,1
是的，反感和歧视不一样，我反感毁容的人，看着特别恶心，但是我不歧视毁容的人，我觉得他们和正常人都是平等的人,1
你凭什么假定这位男士的x别？你怎么知道他不是生理上的男x，心理上的女x。照这么说的话，她应该是通讯录才对。,1
不是我逻辑混乱，而是你根本不理解我在说什么。对方说因为做某些事情同性恋居多，所以就应该认为所以同性恋都有很高几率去做这个事情。我用强奸来类比，是说如果这种逻辑成立，那么因为大多数强奸案都是男性做的，那么就应该认为男性也都有很高几率去强奸一样。性取向和某些行为根本就不挂钩，就像性别和强奸也不挂钩一样。无论是强奸还是这个人前边提到的行为，都不是性向和性别的原因造成的，而且其他多重原因导致的，用性向或者性别把整个一个人群全都一棍子打死就是有问题的想法。,0
这人还是个op,1
